message,_col1
java.util.concurrent.atomic.AtomicLong#incrementAndGet(),1279294.0
java.util.concurrent.ExecutorService#shutdown(),1272564.0
java.util.concurrent.ExecutorService#submit(Runnable),1270432.0
java.math.BigDecimal#intValue(),1270408.0
java.math.BigDecimal#toBigInteger(),1267964.0
java.util.LinkedList#add(Object),1265819.0
java.lang.AbstractStringBuilder#charAt(int),1264938.0
java.lang.Thread#getName(),1256338.0
"java.lang.Math#max(long,long)",1254567.0
java.util.HashMap#size(),1252162.0
java.time.LocalDate#plusDays(long),1246652.0
java.nio.ByteBuffer#array(),1245032.0
java.lang.StringBuilder#append(CharSequence),1242638.0
java.util.Vector#addElement(Object),1232137.0
java.lang.ClassLoader#getResource(String),1224096.0
"java.awt.Insets#Insets(int,int,int,int)",1192032.0
java.util.TimeZone#getTimeZone(String),1189245.0
java.time.ZoneId#systemDefault(),1187512.0
java.lang.Number#doubleValue(),1187040.0
"java.util.stream.Stream#reduce(Object,BinaryOperator)",1185838.0
java.lang.CharSequence#toString(),1175874.0
java.time.Instant#parse(CharSequence),1175777.0
java.text.Format#format(Object),1174504.0
java.io.File#toURI(),1168391.0
java.sql.ResultSet#getInt(int),1165274.0
java.lang.Number#longValue(),1158215.0
java.lang.Double#doubleToLongBits(double),1155972.0
"java.lang.Math#min(long,long)",1141148.0
java.lang.Double#valueOf(double),1135775.0
java.lang.invoke.MethodHandles#lookup(),1134874.0
java.util.concurrent.CompletableFuture#isDone(),1128779.0
java.time.LocalDate#parse(CharSequence),1127924.0
java.lang.StringBuilder#append(boolean),1127000.0
java.util.concurrent.CountDownLatch#await(),1125431.0
"java.util.concurrent.ConcurrentHashMap#put(Object,Object)",1117818.0
java.util.stream.Stream#mapToInt(ToIntFunction),1113752.0
java.math.BigDecimal#multiply(BigDecimal),1113058.0
"java.util.stream.Stream#concat(Stream,Stream)",1112925.0
java.time.Instant#ofEpochMilli(long),1112609.0
java.nio.file.Path#getParent(),1110835.0
java.util.stream.Stream#sorted(),1109162.0
"java.util.concurrent.atomic.AtomicBoolean#compareAndSet(boolean,boolean)",1108557.0
java.util.UUID#equals(Object),1097193.0
java.io.OutputStream#flush(),1095041.0
java.time.format.DateTimeFormatter#format(TemporalAccessor),1087567.0
java.io.Closeable#close(),1085457.0
java.util.EventObject#getSource(),1084013.0
"java.io.File#File(String,String)",1077522.0
java.lang.Number#intValue(),1077160.0
java.io.File#length(),1075574.0
"java.lang.AbstractStringBuilder#setCharAt(int,char)",1073779.0
java.util.Set#removeAll(Collection),1070234.0
java.io.File#listFiles(),1063807.0
java.lang.ClassLoader#getResourceAsStream(String),1062965.0
java.util.Date#toInstant(),1060150.0
java.util.Queue#add(Object),1059590.0
java.io.File#isFile(),1052106.0
